Br,Bt,Bn,B,ddoy,Np,Vth,Vr,Vt,Vn,QF,Vsw,Beta_p,date
-19.397263,17.24198,-11.304665,28.307863,259.7503472222222,22.095669,46.999096,369.7637,-8.382652,-15.109065,0.0,372.37112,0.12802052,2023-09-16 18:00:30
-15.14371,10.157895,-20.367071,27.337381,259.75104166666665,22.07085,42.411797,384.3771,-37.272903,-43.755264,0.0,388.6894,0.11165707,2023-09-16 18:01:30
-18.332615,8.2183695,-20.352966,28.59842,259.7517361111111,20.179176,36.247932,374.26425,-40.770817,-33.290123,0.3982872452786727,378.00272,0.06813865,2023-09-16 18:02:30
-19.112307,4.744618,-18.488731,27.01157,259.7524305555556,24.469086,44.762093,365.8158,-22.61642,27.26382,1.0,367.53696,0.14123634,2023-09-16 18:03:30
-16.516344,7.2089996,-22.214981,28.605326,259.753125,25.813795,41.9372,376.6265,-25.113777,10.08953,0.0,377.64316,0.116617724,2023-09-16 18:04:30
-15.026355,12.630259,-21.708523,29.267298,259.75381944444445,25.470476,40.498196,381.98956,4.545233,25.333044,0.8355739155845789,382.8959,0.10250635,2023-09-16 18:05:30
-13.197933,10.953439,-23.967468,29.472069,259.7545138888889,23.559584,37.007183,393.1695,19.47696,34.353626,0.0186639487277884,395.1491,0.07807754,2023-09-16 18:06:30
-13.601165,9.183892,-24.205236,29.244299,259.7552083333333,25.324245,41.70779,379.2717,-3.1995962,13.984455,0.0,379.61267,0.10826701,2023-09-16 18:07:30
-12.765517,8.134476,-25.177952,29.377838,259.7559027777778,24.292763,40.45649,391.24658,-1.3889859,15.892624,0.2728602794343016,391.8722,0.096832514,2023-09-16 18:08:30
-12.119054,6.429952,-25.778969,29.202244,259.75659722222224,24.256664,43.290604,392.06778,-14.444812,2.5772417,0.5813775893463596,392.346,0.11204529,2023-09-16 18:09:30
-12.954066,9.208136,-25.022587,29.643337,259.7572916666667,22.63797,38.936543,395.77902,-19.75392,-13.2140665,0.0,396.58838,0.08209292,2023-09-16 18:10:30
-5.7926836,6.3094945,-28.348904,29.614613,259.7579861111111,20.403528,35.335247,422.01138,-15.145845,-18.751787,0.2898531497289831,422.88953,0.061054412,2023-09-16 18:11:30
-9.033158,2.901052,-1.6563822,9.631077,259.75868055555554,26.475683,51.145638,402.64014,-26.370195,84.27901,1.0,435.77014,1.5693591,2023-09-16 18:12:30
-15.503595,7.7435503,19.885593,26.37728,259.759375,33.07459,48.254585,377.28918,-25.668154,184.12547,1.0,420.60492,0.23265865,2023-09-16 18:13:30
-22.746225,13.893426,8.4743805,27.968431,259.76006944444447,26.863733,35.858833,352.09348,4.6873894,106.623985,0.0,368.11188,0.09281755,2023-09-16 18:14:30
-22.052006,13.806156,-12.272966,28.766762,259.7607638888889,28.80063,47.17657,361.4381,-3.6133401,23.773663,0.0,362.85684,0.16280973,2023-09-16 18:15:30
-17.51265,13.521134,-19.804993,29.694304,259.76145833333334,22.971968,39.617996,378.88824,-6.959985,0.46764776,0.0,380.4852,0.08594975,2023-09-16 18:16:30
-14.668837,18.292175,-18.762766,30.030315,259.76215277777777,21.033306,41.779663,393.9404,1.1067251,-35.053425,0.0,395.51196,0.08557074,2023-09-16 18:17:30
-16.407887,9.230883,-22.6449,29.44859,259.7628472222222,20.443472,37.31874,386.4761,-51.352932,-66.365166,0.0,395.8536,0.06900606,2023-09-16 18:18:30
