Br,Bt,Bn,B,ddoy,Vr,Vt,Vn,Np,Tp,Vsw,Beta_p,date
-24.98649,8.767368,6.729908,27.321844,67.50033564814815,268.28186,27.436571,0.037970662,50.307533,4.8630037,269.68185,0.13196799,2022-03-08 12:00:29.999998
-24.396385,7.9636154,7.285162,26.677263,67.50104166666667,268.1802,27.712751,0.16735855,50.35726,4.8527503,269.6101,0.13826697,2022-03-08 12:01:30.000004
-23.444656,8.700168,7.8025494,26.195889,67.50173611111111,268.07852,27.98893,0.2967464,50.406986,4.8424964,269.53833,0.14323354,2022-03-08 12:02:30.000001
-24.3402,8.315964,8.773243,27.176653,67.50241898148148,,,,,,,,2022-03-08 12:03:29.999997
-23.859451,8.419939,9.130318,26.89854,67.503125,,,,,,,,2022-03-08 12:04:30.000004
-24.48571,7.221084,10.427889,27.575983,67.50381944444445,267.77353,28.817469,0.68491006,50.55616,4.811735,269.32306,0.1288145,2022-03-08 12:05:30.000000
-23.504314,8.051868,10.340139,26.911036,67.50450231481481,267.67188,29.093649,0.8142979,50.605885,4.8014817,269.2513,0.13510345,2022-03-08 12:06:29.999996
-23.820171,5.7944975,10.249739,26.571299,67.50520833333333,267.5702,29.369827,0.94368577,50.65561,4.791228,269.17957,0.13842027,2022-03-08 12:07:30.000003
-23.272501,4.729979,10.768,26.075502,67.5058912037037,267.05304,31.761734,-0.29484642,53.0914,4.5285335,268.94565,0.14238602,2022-03-08 12:08:29.999999
-23.601498,3.2365155,10.499767,26.03365,67.50658564814815,265.23834,27.723177,2.9895687,54.456142,4.7729034,266.73993,0.15442245,2022-03-08 12:09:29.999996
-22.952494,6.2038655,9.302515,25.53119,67.50729166666666,266.85825,24.259003,3.4293532,51.104603,5.070302,268.00943,0.16006732,2022-03-08 12:10:30.000002
-25.32542,13.103997,6.139252,29.168169,67.50797453703704,282.3567,20.128323,-4.5093207,34.145557,5.725159,283.10938,0.09252399,2022-03-08 12:11:29.999999
-24.60131,13.22244,5.125396,28.395899,67.50866898148148,273.8095,23.987246,-3.25718,41.77093,5.412399,274.87772,0.11290252,2022-03-08 12:12:29.999995
-24.174587,13.399527,5.107541,28.107738,67.509375,274.92096,22.327217,-1.6887099,43.551502,4.0668025,275.8315,0.09027248,2022-03-08 12:13:30.000002
-24.757166,10.176541,7.1009583,27.69301,67.51005787037037,273.82254,11.973693,6.1798816,38.279354,4.684891,274.16177,0.0941618,2022-03-08 12:14:29.999998
-25.237196,1.7606149,7.7791924,26.46756,67.51076388888889,266.00623,23.392214,6.932222,50.797916,4.9615784,267.12573,0.14487348,2022-03-08 12:15:30.000004
-25.986622,3.0292702,9.000094,27.667356,67.51145833333334,270.49548,22.986805,1.3676393,43.189983,4.753407,271.47943,0.107995,2022-03-08 12:16:30.000001
-24.930067,2.5233152,8.293934,26.394405,67.5121412037037,262.6431,23.473576,4.6398225,49.91894,5.0714955,263.73083,0.14632839,2022-03-08 12:17:29.999997
-23.964115,3.6198597,8.908429,25.821354,67.51284722222222,261.31616,23.637066,5.3907833,51.79788,4.631562,262.43924,0.144888,2022-03-08 12:18:30.000004
-24.146357,4.340491,8.226948,25.876032,67.51354166666667,264.3747,22.847372,5.5784965,48.13937,4.414737,265.42,0.12780881,2022-03-08 12:19:30.000000
-23.595062,14.128058,6.4217067,28.241236,67.51422453703704,269.4694,22.72158,4.7638893,44.962387,3.8694718,270.4678,0.08783843,2022-03-08 12:20:29.999997
-23.388605,13.672381,6.9615684,27.97185,67.51493055555555,271.04514,23.002947,3.0368836,44.602543,3.7895768,272.0365,0.08698791,2022-03-08 12:21:30.000003
-23.329866,13.358771,7.513341,27.91397,67.515625,270.60355,22.655436,1.7091473,44.80471,3.790767,271.55588,0.0877725,2022-03-08 12:22:30.000000
-23.211552,13.92219,7.3871417,28.05661,67.51630787037037,269.14923,19.87172,4.2568226,39.218376,4.1299253,269.9164,0.08285379,2022-03-08 12:23:29.999996
-24.97487,10.055602,8.811111,28.328342,67.51701388888888,276.22818,24.102482,-4.067177,38.573463,5.3900666,277.30795,0.10432571,2022-03-08 12:24:30.000002
-25.190166,9.251703,9.350208,28.417686,67.51769675925927,277.8765,15.882883,-0.18931858,37.685493,5.371062,278.33234,0.100927114,2022-03-08 12:25:29.999999
-24.225977,10.988335,7.9171386,27.754686,67.5183912037037,271.3691,23.520548,-0.415568,46.445374,4.9019423,272.39172,0.11901151,2022-03-08 12:26:29.999995
-23.770954,11.573608,8.248753,27.695642,67.51909722222223,269.3099,24.48166,1.313934,44.653625,5.125317,270.4258,0.12014495,2022-03-08 12:27:30.000002
-22.523445,13.133761,8.500821,27.423807,67.5197800925926,269.2349,20.849997,2.3215117,42.986835,4.076357,270.05264,0.09382166,2022-03-08 12:28:29.999998
-23.834757,12.197765,8.822795,28.190828,67.52047453703703,278.74402,21.217655,-0.90974164,38.5594,3.9383776,279.55215,0.07694545,2022-03-08 12:29:29.999995
-23.621643,12.40262,8.37759,27.964102,67.52118055555556,275.77112,27.281181,-0.83888775,44.203682,4.1626163,277.11942,0.09474887,2022-03-08 12:30:30.000001
-24.72161,10.614654,9.085514,28.39675,67.52186342592593,278.6638,22.534004,-0.8981247,39.7467,5.299927,279.57626,0.10519248,2022-03-08 12:31:29.999997
-25.138634,2.6490486,9.639696,27.053505,67.52256944444444,268.3011,12.677729,7.210747,43.659065,4.63664,268.70093,0.11137343,2022-03-08 12:32:30.000004
-25.521818,4.934048,8.110732,27.230352,67.52326388888889,264.48944,16.403296,1.2711632,41.581493,4.342789,265.0063,0.098064825,2022-03-08 12:33:30.000000
-25.293913,3.4915323,9.021576,27.080652,67.52394675925926,266.31998,16.96768,5.155383,42.76164,4.0614877,266.91342,0.095361315,2022-03-08 12:34:29.999997
-24.978573,5.604678,9.502945,27.306545,67.52465277777777,265.47025,19.881866,2.184633,45.88644,4.3110085,266.22668,0.10682691,2022-03-08 12:35:30.000003
-24.584078,7.139198,9.253561,27.220827,67.52534722222222,267.57004,21.306843,2.645776,45.07407,4.1117387,268.4304,0.10071648,2022-03-08 12:36:30.000000
-23.08993,12.792156,9.139345,27.934061,67.52603009259259,273.33707,25.81907,4.0900393,45.534092,3.9535074,274.5855,0.09289707,2022-03-08 12:37:29.999996
-22.336248,13.595892,9.71983,27.8968,67.5267361111111,272.69202,28.01348,3.4721565,49.849,3.7298255,274.14975,0.09620268,2022-03-08 12:38:30.000003
-21.892962,14.168701,9.323359,27.694382,67.52741898148147,271.78363,28.123869,0.98568577,47.47336,3.7374544,273.23697,0.09315228,2022-03-08 12:39:29.999999
-22.656025,12.562487,9.515207,27.59802,67.52811342592592,269.4458,27.05261,0.90157163,46.102367,3.9321172,270.8024,0.09583955,2022-03-08 12:40:29.999995
-23.302696,12.744588,8.916773,28.016941,67.52881944444445,274.27808,24.240658,0.09035149,44.667366,4.173214,275.3472,0.0956248,2022-03-08 12:41:30.000002
-23.200235,12.18043,9.487393,27.867981,67.52950231481482,272.2014,25.32689,1.825841,46.16939,4.24726,273.38428,0.10167239,2022-03-08 12:42:29.999998
-23.029919,11.513357,9.417182,27.41565,67.53019675925925,270.89883,23.721254,0.5781584,45.18137,4.048373,271.93677,0.097992726,2022-03-08 12:43:29.999995
-23.324684,10.492674,9.074251,27.13815,67.53090277777778,267.75443,22.92459,1.4460008,46.79284,4.1262784,268.73947,0.10556707,2022-03-08 12:44:30.000001
-23.086605,9.971083,9.847256,27.007078,67.53158564814815,267.76843,24.853252,1.5010575,48.066814,3.7250814,268.92465,0.098850034,2022-03-08 12:45:29.999998
-23.152033,10.247928,9.725655,27.122408,67.53229166666667,268.86252,25.001854,4.59358,48.522606,3.9441516,270.06888,0.10475919,2022-03-08 12:46:30.000004
-22.3946,8.5004015,12.562998,27.048176,67.53298611111111,269.5936,22.569632,8.482979,45.925896,3.539137,270.67227,0.089460224,2022-03-08 12:47:30.000001
-24.276217,5.071966,11.166911,27.198519,67.53366898148148,268.99338,24.705423,0.98349863,47.67141,4.1992903,270.1289,0.10896683,2022-03-08 12:48:29.999997
-23.520117,11.413706,9.250651,27.731627,67.534375,271.47064,18.618042,3.5325806,41.61074,4.002703,272.1322,0.08720857,2022-03-08 12:49:30.000004
-24.11865,9.023104,11.011593,28.0068,67.53506944444445,270.59845,17.626383,5.4356365,40.90083,4.069445,271.2268,0.08544591,2022-03-08 12:50:30.000000
-22.980896,9.115173,12.074414,27.513622,67.53575231481481,270.86502,14.578584,6.4820247,40.86297,4.2958074,271.33463,0.093374886,2022-03-08 12:51:29.999996
-24.94742,9.885135,7.5208497,27.868492,67.53645833333333,269.66382,17.369844,-0.78055024,40.0214,4.2993283,270.22513,0.08921068,2022-03-08 12:52:30.000003
-24.22935,9.604434,9.020101,27.580223,67.5371412037037,271.17206,19.554703,1.2480124,41.495644,4.420592,271.8792,0.097104274,2022-03-08 12:53:29.999999
-24.382357,8.952419,9.614761,27.696367,67.53783564814815,269.04657,16.160316,5.384916,43.41798,4.6402903,269.59207,0.10575967,2022-03-08 12:54:29.999996
-23.345991,8.580621,10.959211,27.180262,67.53854166666666,268.68323,21.09471,4.044719,44.67582,4.7432723,269.54102,0.11550326,2022-03-08 12:55:30.000002
-22.666756,8.016566,12.449967,27.074875,67.53922453703704,271.22043,18.574387,10.360942,44.102818,4.3681536,272.06384,0.10582353,2022-03-08 12:56:29.999999
-22.626343,8.735834,11.484045,26.835602,67.53991898148148,272.81818,24.185266,2.451668,48.43721,4.982235,273.91696,0.13493718,2022-03-08 12:57:29.999995
-23.515568,7.230281,10.821381,26.876778,67.540625,270.16714,15.577889,2.9114616,44.02715,4.819642,270.6392,0.11828561,2022-03-08 12:58:30.000002
-23.398417,8.491294,10.785922,27.12792,67.54130787037037,270.8053,21.725494,3.7911258,47.748432,5.051715,271.7085,0.13198236,2022-03-08 12:59:29.999998
-23.754719,8.988675,10.173785,27.360352,67.54201388888889,268.76218,19.199453,-1.4227358,45.010674,4.26336,269.45505,0.103222676,2022-03-08 13:00:30.000004
-24.46799,10.875196,6.196412,27.483595,67.54270833333334,269.96915,19.356503,1.1893847,46.07402,4.5980964,270.66742,0.11293747,2022-03-08 13:01:30.000001
-23.244423,7.5202513,11.664892,27.072626,67.5433912037037,270.5252,12.337986,9.218079,40.965973,4.5099072,270.98877,0.1015035,2022-03-08 13:02:29.999997
-23.142788,9.4644785,11.489416,27.516752,67.54409722222222,272.31564,19.910372,4.9779043,41.422333,4.1848335,273.09088,0.09218693,2022-03-08 13:03:30.000004
-24.195526,8.291259,10.661797,27.709969,67.54479166666667,268.6222,16.31156,2.3480332,39.739227,4.29419,269.1273,0.08949104,2022-03-08 13:04:30.000000
-24.286276,8.367689,10.664983,27.813366,67.54547453703704,270.2101,15.962024,1.6990571,40.34356,4.3063245,270.68875,0.090432554,2022-03-08 13:05:29.999997
-24.23712,8.889171,10.269529,27.783422,67.54618055555555,270.23038,16.404148,-0.5170946,39.422672,4.331897,270.745,0.0890848,2022-03-08 13:06:30.000003
-23.962242,7.5118713,11.747017,27.72381,67.546875,268.7473,14.950681,4.324037,40.798477,4.478683,269.19934,0.095728084,2022-03-08 13:07:30.000000
-19.50232,-2.7393503,18.979729,27.350952,67.54755787037037,276.81454,2.5926025,14.461434,42.07382,6.0523553,277.21542,0.13706999,2022-03-08 13:08:29.999996
-19.721003,-2.4936361,18.591066,27.216978,67.54826388888888,279.77167,-6.7592397,9.412573,42.0793,6.3150353,280.01425,0.1444493,2022-03-08 13:09:30.000002
-19.384897,0.36089942,18.956573,27.115608,67.54894675925927,279.69785,7.0386505,12.45025,42.63485,5.818476,280.0767,0.13585833,2022-03-08 13:10:29.999999
-22.367634,5.3856688,15.047345,27.49071,67.5496412037037,273.3908,16.603706,9.199664,41.02458,4.443756,274.04935,0.09713448,2022-03-08 13:11:29.999995
-22.18886,5.533831,15.010258,27.354645,67.55034722222223,276.05515,14.679701,10.201958,41.306046,4.840121,276.63684,0.1075867,2022-03-08 13:12:30.000002
-22.199356,5.9420958,14.631191,27.243195,67.5510300925926,272.83395,11.997634,8.091384,40.809364,4.3946075,273.2217,0.09730043,2022-03-08 13:13:29.999998
-22.519573,5.4631877,14.212753,27.184187,67.55172453703703,273.88742,10.245647,9.274991,40.900116,4.744964,274.24298,0.10574888,2022-03-08 13:14:29.999995
-23.041973,6.3787985,12.639397,27.043962,67.55243055555556,272.14322,10.67624,8.231654,38.16854,4.611433,272.48096,0.09690624,2022-03-08 13:15:30.000001
-23.232315,6.4219065,13.087782,27.427567,67.55311342592593,273.718,12.602428,3.4215739,37.950172,4.377906,274.02985,0.088931695,2022-03-08 13:16:29.999997
-23.466307,6.197538,12.328121,27.22241,67.55381944444444,272.49854,13.322326,4.983341,39.898514,4.4436193,272.87042,0.0963366,2022-03-08 13:17:30.000004
-21.246822,6.2772636,15.061583,26.789602,67.55451388888889,275.8888,9.044284,12.418526,41.1241,4.6707754,276.3196,0.10777146,2022-03-08 13:18:30.000000
-23.604223,5.065255,12.090125,26.999765,67.55519675925926,269.4963,13.636548,6.2452326,38.844997,4.4082594,269.9532,0.09458739,2022-03-08 13:19:29.999997
-23.486162,5.8282647,12.02945,27.023623,67.55590277777777,268.93057,10.556214,4.7850204,40.810936,4.789942,269.1871,0.10778804,2022-03-08 13:20:30.000003
-19.44219,4.452617,18.241604,27.029257,67.55659722222222,279.0823,7.690816,16.629852,41.45871,5.131185,279.68448,0.11725091,2022-03-08 13:21:30.000000
-23.032589,6.0013175,13.488926,27.358128,67.55728009259259,270.808,12.055001,2.5255344,40.897156,5.2252555,271.09497,0.1149685,2022-03-08 13:22:29.999996
-22.61899,5.203348,13.882406,27.04468,67.5579861111111,270.866,8.472765,5.253201,40.49818,5.0564094,271.05255,0.112736605,2022-03-08 13:23:30.000003
-22.00852,4.919095,15.198333,27.194885,67.55866898148147,273.443,14.599275,10.454157,44.23826,4.888377,274.04276,0.11774412,2022-03-08 13:24:29.999999
-22.86555,4.0764756,14.7107725,27.492868,67.55936342592592,270.67996,9.571523,9.145583,40.4153,5.0491447,271.0068,0.10871124,2022-03-08 13:25:29.999995
-21.399183,3.4475076,15.219735,26.484915,67.56006944444445,268.27945,4.2401314,7.2853518,38.414482,5.174591,268.41684,0.1141103,2022-03-08 13:26:30.000002
-21.66282,4.650918,16.146149,27.415451,67.56075231481482,274.17404,6.7303634,11.699341,39.931255,4.84508,274.51575,0.10365115,2022-03-08 13:27:29.999998
-21.60439,3.7966895,16.402401,27.38984,67.56144675925925,277.15582,4.0768046,14.88447,41.60521,5.18334,277.5884,0.115752235,2022-03-08 13:28:29.999995
