Br,Bt,Bn,B,ddoy,Vr,Vt,Vn,Np,Tp,Vsw,Beta_p,date
7.8166304,-4.2812953,6.7161293,11.159552,50.000335648148145,380.76343,25.077755,-12.5086975,12.556624,3.8389819,381.79333,0.15586421,2023-02-19 00:00:29.999998
7.9246583,-4.2958617,6.7058187,11.234885,50.001041666666666,383.98108,25.430943,-12.195834,11.262443,3.872087,385.01562,0.13912058,2023-02-19 00:01:30.000004
8.907881,-5.705768,4.228295,11.392304,50.001736111111114,385.0745,27.609932,-10.738384,9.9392605,3.6682646,386.2124,0.11312081,2023-02-19 00:02:30.000001
8.397703,-5.043051,5.1909294,11.086006,50.00241898148148,389.63898,28.22761,-11.048258,10.780813,3.893505,390.81662,0.13752857,2023-02-19 00:03:29.999997
7.761816,-6.096634,5.125115,11.12122,50.003125,391.60764,27.604717,-12.228844,9.94846,4.3547716,392.8151,0.14104813,2023-02-19 00:04:30.000004
7.2109056,-8.184637,1.2979325,10.984993,50.003819444444446,393.97922,39.512463,-0.97244066,11.106376,5.8543506,395.95914,0.2169714,2023-02-19 00:05:30.000000
7.974882,-7.578863,2.1999881,11.21953,50.004502314814815,389.02286,37.128105,-5.3980813,10.022579,4.312196,390.82825,0.13825458,2023-02-19 00:06:29.999996
7.792355,-7.410284,3.3237996,11.255254,50.005208333333336,391.57208,35.53982,-8.506525,9.607455,3.3802004,393.27393,0.10322648,2023-02-19 00:07:30.000003
8.105113,-6.830013,4.030558,11.339636,50.005891203703705,389.85345,34.191658,-10.773569,9.712862,3.5311303,391.49854,0.10740231,2023-02-19 00:08:29.999999
7.8240743,-6.9456644,4.4247227,11.3594265,50.006585648148146,392.97696,35.001106,-13.286636,9.307082,3.52773,394.75702,0.102458276,2023-02-19 00:09:29.999996
8.277188,-7.015457,3.3621542,11.35925,50.00729166666667,389.64816,35.838253,-8.391606,9.559622,3.70978,391.38324,0.11067269,2023-02-19 00:10:30.000002
8.377284,-6.7914023,3.916349,11.473439,50.007974537037036,387.69876,35.718002,-10.622726,9.627927,3.559353,389.48694,0.10482565,2023-02-19 00:11:29.999999
8.489837,-6.567129,4.0441933,11.469961,50.008668981481485,388.40195,33.494053,-11.30171,9.240564,3.0839834,390.00723,0.08722431,2023-02-19 00:12:29.999995
8.858688,-5.9614286,4.230691,11.48537,50.009375,386.26886,27.19372,-11.968525,9.504866,3.5084138,387.40985,0.101792976,2023-02-19 00:13:30.000002
8.316663,-6.6001534,4.3112965,11.459327,50.01005787037037,390.1376,32.033424,-13.612247,9.664858,4.151751,391.68726,0.12304374,2023-02-19 00:14:29.999998
8.494269,-6.52504,4.2046256,11.506852,50.01076388888889,388.65546,29.896568,-12.991541,10.266636,3.7617757,390.0208,0.11745161,2023-02-19 00:15:30.000004
8.374538,-6.5118484,4.1063657,11.375381,50.01145833333333,390.5736,31.736965,-11.664129,9.82795,3.3375149,392.0356,0.10207165,2023-02-19 00:16:30.000001
