ddoy B Bx By Bz Np Vth Vsw
273.031 3.77671 -0.48292 1.10414 3.44762 10.0543 22.8922 334.004
273.033 4.94248 -0.652143 0.920516 4.80543 7.98044 24.2536 329.378
273.034 5.39756 -0.740039 1.3248 5.16358 6.53427 18.8074 332.987
273.035 5.65128 -0.801952 1.94552 5.24121 6.89714 23.0242 335.306
273.036 5.32767 -0.73284 1.86895 4.92211 8.43056 22.8205 336.797
273.037 6.33303 -0.91047 1.93779 5.95665 4.92188 21.9888 334.765
273.038 6.25458 -0.784571 1.89301 5.9061 5.1216 21.6033 334.908
273.039 6.22034 -0.81416 1.81492 5.89125 5.27692 21.9723 335.164
273.04 6.14581 -0.636811 2.06589 5.75136 5.94012 24.0224 334.519
273.041 6.04678 -0.703625 2.05469 5.64165 6.56922 23.3105 335.751
273.043 5.97248 -0.863662 1.59444 5.65433 6.20749 22.8268 336.299
273.044 5.90963 -0.803011 1.72227 5.5835 6.96508 22.3311 336.979
273.045 6.17129 -1.07111 1.41358 5.90292 5.60365 22.0987 339.825
273.046 5.711 -0.718434 1.48008 5.43073 6.95477 23.1252 337.252
273.047 5.31211 -0.458895 1.71832 4.99268 7.99692 21.9825 338.326
273.048 4.99925 -0.256402 1.75188 4.66021 8.79955 21.2618 336.397
273.049 4.76229 -0.750088 0.768957 4.63291 9.16489 21.3614 340.604
273.05 4.29613 -0.537851 0.457736 4.23346 9.94835 22.5707 339.527
273.052 4.49616 -0.529674 1.22631 4.27226 9.94693 21.6989 339.111
273.053 4.03176 -0.292398 1.48662 3.72354 12.0084 21.7291 338.831
273.054 3.67991 -0.496555 1.23165 3.42224 12.7999 21.173 339.701
273.055 3.56115 -0.191868 1.09897 3.35966 13.2155 22.4874 338.848
273.056 3.93697 -0.499102 0.816469 3.80643 12.4498 22.0441 341.221
273.057 2.64632 -0.612651 0.299479 2.52741 13.1619 23.8486 339.289
273.058 3.0325 -0.452671 0.0110538 2.84107 12.9165 22.3846 341.473
273.059 4.47338 -0.517367 -1.50556 4.11475 9.58588 22.8603 342.938
273.06 4.74071 -0.877994 -0.326232 4.59518 9.49009 22.9381 342.505
273.062 5.03317 -0.400076 -0.047879 4.94936 8.66058 23.6765 343.943
273.063 5.27329 -1.54546 0.094073 4.88249 10.2969 24.419 345.015
273.064 5.52776 -2.54849 0.68168 4.82851 9.35015 23.5699 344.609
273.065 5.22716 -0.891828 0.349792 5.10126 10.0152 24.749 347.021
273.066 5.05925 -0.390963 -0.859706 4.93134 10.4407 24.709 346.637
273.067 4.9954 -0.314283 -1.22467 4.82706 10.4072 25.0615 347.316
273.068 5.47243 -0.620849 1.07983 4.87768 10.2313 24.9964 349.117
273.069 6.02964 -0.629152 5.14649 3.00944 8.62647 27.9789 348.46
273.07 5.00232 -0.402041 0.78482 3.7521 14.9276 39.0503 348.133
273.072 6.09713 -0.48756 -3.75737 4.73178 8.75151 30.1771 349.495
273.073 6.46586 -0.711931 -4.94033 4.06206 8.10215 28.3463 348.755
273.074 7.00908 0.146101 -2.12393 6.21139 8.46954 28.7878 350.509
273.076 6.72147 -0.332868 -3.66043 5.61814 8.92279 29.3325 352.672
273.077 6.77716 -0.588493 -2.88004 6.08631 8.59871 27.843 352.581
273.078 6.89275 -0.597727 -2.24227 6.46549 7.95083 26.6217 352.967
273.079 6.98716 -0.376918 1.15607 6.65091 7.72053 29.2972 349.666
273.08 7.34533 -0.318825 0.61327 7.22021 6.99742 29.2889 351.563
273.082 7.02776 -0.674901 -2.61808 6.45315 8.12655 29.847 352.082
273.083 7.22035 -0.704701 -1.16932 7.02329 7.47529 30.1887 353.719
273.084 7.47383 -0.946908 -0.250284 7.39795 6.79475 30.71 352.211
273.085 7.60257 -0.679673 0.00269344 7.55413 6.90368 29.5313 354.104
273.086 7.59643 -0.370478 0.675072 7.54681 6.68666 30.7751 353.923
273.087 7.74669 -0.50767 1.35193 7.59679 6.65488 29.8393 353.407
273.088 7.82408 -0.592678 1.84423 7.57492 6.0481 26.3768 353.007
273.089 7.76953 -0.45662 2.18594 7.43811 6.4405 27.4797 352.226
273.09 7.74706 -0.491083 2.49729 7.31266 6.76407 30.3824 351.701
273.092 7.74994 -0.816139 2.82202 7.16594 6.71554 27.3291 350.306
273.093 7.81007 -1.08283 2.95037 7.13556 6.96945 27.2161 353.54
273.094 7.70077 -1.32265 3.14287 6.8445 6.88497 28.1968 353.85
273.095 7.75022 -2.53847 3.11529 6.60971 6.9283 27.1982 352.175
273.096 7.65374 -2.81833 2.66482 6.5788 7.8887 29.9664 352.133
273.097 7.52812 -2.44529 3.46423 6.18629 8.14811 28.6845 352.705
273.098 7.41357 -2.46417 3.542 6.02737 8.89092 28.4677 357.19
273.099 7.29527 -2.69148 3.60375 5.73907 9.13266 29.2476 356.24
273.101 7.24273 -2.37597 4.19314 5.38289 9.19448 26.7137 358.443
273.102 7.30898 -2.59077 4.39451 5.22238 9.38345 29.0247 359.822
273.103 7.36355 -2.67513 4.57925 5.04245 8.97003 27.4417 358.645
273.104 7.60499 -3.04185 4.90771 4.9322 8.21886 27.1835 361.146
273.105 7.58607 -3.44831 4.98699 4.5092 8.63319 27.5313 361.436
273.106 7.58815 -2.36508 5.2556 4.87906 9.19855 30.9468 358.709
273.107 7.74637 -2.60624 5.57016 4.6674 8.27156 30.1466 355.45
273.108 7.51967 -2.72755 4.51216 5.28548 9.28734 34.1378 358.957
273.109 7.07191 -2.48746 4.72898 4.62577 11.4177 27.5812 364.39
273.11 6.89348 -2.46231 4.40848 4.68745 11.21 26.9987 366.277
273.112 7.1515 -2.35399 4.27075 5.21575 10.9697 29.6211 362.781
273.113 8.27449 -2.36205 5.34066 5.84937 7.80285 29.9466 364.993
273.114 8.29643 -2.22872 5.71849 5.5557 7.36168 27.8253 365.163
273.115 8.24245 -1.75039 6.00188 5.3438 6.55712 25.3944 361.062
273.116 7.93534 -1.30008 6.22251 4.64978 8.01493 27.6055 359.724
273.117 7.82032 -0.117415 7.30464 2.75021 8.08009 27.8696 358.476
273.118 7.76692 -0.409678 7.00876 3.31381 9.09051 25.5728 359.466
273.119 7.5565 -1.36053 6.52678 3.51643 10.6674 30.4727 360.599
273.121 7.5933 -1.61203 6.41347 3.68698 8.7483 25.6541 363.119
273.122 8.10955 -1.20285 7.11803 3.6908 8.13233 26.775 357.222
273.123 8.23233 -1.14321 7.2069 3.80395 8.44218 27.1524 356.444
